Country ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1620,1550,1470,1410,1360,1340,1330,1330,1320,1300,1270,1240,1200,1160,1130,1100,1050,996,941,881,821,776,724,676,631,584,536,496,459,425,396
Angola,1230,1210,1190,1180,1170,1160,1160,1180,1180,1180,1150,1120,1070,1030,981,924,878,831,789,749,705,668,640,606,581,561,546,526,509,493,477
Azerbaijan,74,77,71,72,67,64,65,83,82,92,86,77,73,66,61,48,43,38,38,32,34,30,29,28,27,27,26,25,25,26,25
Bangladesh,681,654,632,613,591,569,550,531,511,495,479,462,446,432,415,399,384,365,349,333,319,303,288,273,258,242,228,214,201,188,176
Benin,732,695,662,631,601,576,553,540,537,541,550,561,571,577,576,572,561,549,538,523,502,494,481,469,457,446,436,429,422,414,405
Bolivia,440,436,434,430,428,425,422,417,409,401,390,375,362,350,342,334,329,323,317,312,305,298,288,277,266,253,241,230,222,215,206
Botswana,319,305,289,273,256,243,233,227,226,230,238,253,270,289,307,311,328,338,334,311,276,239,215,208,188,169,159,153,139,134,129
Brazil,124,121,115,114,109,104,100,95,93,88,84,86,90,94,81,66,61,62,63,66,67,68,67,66,65,65,59,60,48,46,44
Burkina Faso,809,796,779,763,745,727,709,693,674,655,636,620,601,581,565,547,530,516,500,482,468,457,447,436,428,417,408,398,389,379,371
Burundi,1200,1200,1190,1200,1210,1220,1250,1270,1260,1250,1210,1160,1100,1040,985,954,919,898,883,873,863,856,849,838,824,808,796,780,760,737,712
Cambodia,1410,1340,1250,1170,1090,1020,955,896,842,789,730,682,633,582,532,484,441,402,367,341,315,284,257,237,217,202,188,178,173,167,161
Cameroon,723,719,712,716,718,728,732,740,743,749,749,753,751,749,750,750,751,742,732,723,729,725,710,707,696,676,652,632,619,609,596
Central African Republic,1220,1240,1250,1260,1280,1290,1310,1320,1320,1320,1300,1290,1280,1260,1230,1200,1190,1170,1150,1110,1060,1020,992,963,941,909,888,876,873,872,882
Chad,1560,1540,1510,1490,1470,1450,1440,1450,1440,1440,1430,1410,1410,1390,1390,1370,1360,1310,1260,1220,1170,1130,1100,1070,1070,1040,984,931,901,881,856
China,125,118,112,107,102,97,92,87,82,77,72,68,64,62,60,58,56,54,52,50,48,45,43,40,38,35,33,31,29,28,27
Comoros,730,707,687,669,653,635,619,606,592,576,563,549,533,521,509,499,484,471,458,447,436,426,415,407,396,388,376,365,354,344,335
Congo,622,610,604,605,602,603,608,612,615,627,634,646,653,651,657,653,657,655,641,622,596,575,555,537,525,509,494,483,469,452,442
Cote d'Ivoire,821,800,775,762,752,745,741,741,753,741,711,686,674,678,674,671,678,683,700,725,742,745,745,745,732,717,715,715,688,665,645
Democratic People's Republic of Korea,125,120,113,102,89,75,63,56,56,65,81,99,116,127,131,128,121,114,109,106,105,104,104,103,100,97,95,91,87,85,82
Democratic Republic of the Congo,952,936,919,902,888,879,881,883,890,904,914,920,919,915,902,874,853,830,808,793,787,789,803,792,793,794,777,771,746,717,693
Djibouti,625,609,601,569,544,517,499,477,466,459,452,445,429,420,410,401,396,382,371,357,341,330,321,309,290,275,266,257,243,237,229
Egypt,132,126,121,116,111,106,102,98,93,88,83,78,74,70,66,63,60,58,56,54,52,50,47,45,43,40,39,37,35,34,33
Equatorial Guinea,1350,1360,1360,1360,1340,1310,1290,1260,1230,1170,1050,949,876,818,751,702,659,611,564,523,483,450,426,408,391,379,364,361,356,351,342
Eritrea,1990,1920,1850,1770,1680,1590,1520,1430,1320,1210,1100,977,900,829,770,733,700,669,647,627,619,615,619,614,599,579,561,540,533,524,501
Ethiopia,1370,1350,1330,1280,1260,1250,1230,1210,1180,1130,1080,1040,998,959,927,897,871,846,814,780,743,698,654,608,566,523,482,447,410,378,353
Gabon,492,467,456,443,434,422,418,411,408,408,405,403,397,401,402,405,402,399,389,372,370,367,350,335,327,322,317,314,308,295,291
Gambia,1130,1100,1070,1060,1040,1030,1030,1020,1010,994,977,961,943,931,910,887,869,854,841,822,807,798,789,774,767,753,753,741,730,719,706
Ghana,781,757,731,705,668,634,600,569,551,535,532,527,515,501,487,467,449,437,420,396,376,358,345,337,330,325,320,324,321,322,319
Guatemala,249,241,232,224,215,205,198,191,184,178,173,170,171,175,179,178,170,157,146,139,120,120,118,117,115,109,103,105,99,93,88
Guinea,1290,1220,1170,1130,1080,1040,1010,982,973,967,964,972,975,977,979,976,973,961,928,882,831,791,770,743,731,720,711,695,695,688,679
Guinea-Bissau,1030,1010,992,971,939,907,877,848,825,799,780,777,776,782,788,800,799,793,775,745,714,679,643,614,587,570,563,553,554,553,549
Haiti,797,777,751,717,676,625,594,572,559,551,544,540,529,518,516,505,492,482,479,472,459,452,442,424,408,389,369,372,370,367,359
India,659,640,616,596,575,556,538,521,504,488,471,453,434,414,395,374,354,335,316,298,280,265,250,237,225,215,206,197,189,181,174
Indonesia,631,591,552,515,478,446,417,391,368,347,326,312,299,287,276,265,253,241,231,221,212,200,190,181,173,165,156,148,140,133,126
Iraq,201,171,145,125,114,107,101,98,98,92,87,81,75,70,66,63,61,59,57,55,54,52,52,52,52,51,51,51,50,50,50
Kenya,770,758,743,723,705,687,678,671,669,684,698,717,729,741,755,759,765,767,768,751,728,702,680,660,633,605,584,562,540,525,510
Kyrgyzstan,93,83,87,88,80,80,82,79,82,89,92,85,78,77,72,74,72,81,82,81,85,90,89,89,89,84,87,81,79,77,76
Lesotho,812,783,753,719,675,629,586,552,527,522,525,538,560,586,615,649,679,704,722,737,746,725,707,668,635,587,555,549,532,513,487
Liberia,1300,1310,1330,1370,1430,1500,1640,1790,1850,1890,1800,1630,1480,1370,1300,1270,1260,1250,1200,1110,1020,935,890,851,829,811,798,787,762,741,725
Madagascar,803,807,808,804,796,778,761,738,709,676,644,612,584,561,544,536,531,527,522,519,508,495,482,468,453,436,420,402,384,369,353
Malawi,1190,1130,1070,1020,989,957,954,958,948,956,953,952,939,916,904,890,868,839,783,699,648,614,613,629,633,629,618,624,636,638,634
Mali,1220,1190,1150,1100,1050,1010,993,985,967,940,911,892,865,851,841,834,805,777,754,735,714,707,697,674,652,630,617,617,610,601,587
Mauritania,963,943,917,892,874,859,848,843,837,827,824,824,819,820,821,813,805,796,781,764,750,745,744,739,734,723,704,682,655,629,602
Mexico,114,104,98,95,92,90,87,87,87,86,85,82,82,83,82,77,69,61,57,54,54,51,50,50,53,45,42,42,41,39,38
Morocco,442,414,385,360,337,317,300,285,273,264,257,249,242,235,228,221,214,207,201,196,190,185,179,172,164,153,144,137,131,126,121
Mozambique,1520,1520,1500,1470,1420,1390,1320,1290,1260,1210,1150,1100,1050,1000,956,915,875,840,804,783,762,741,716,682,646,619,596,563,528,506,489
Myanmar,579,551,525,500,476,453,436,420,404,389,376,362,349,335,322,308,297,284,273,261,248,237,226,218,210,205,201,195,189,184,178
Nepal,1150,1110,1060,1020,958,901,851,798,742,693,660,631,611,591,570,548,527,505,482,461,444,425,406,386,368,349,328,308,291,275,258
Niger,1070,1020,973,934,900,873,858,848,839,836,828,823,818,811,805,794,786,774,757,738,723,711,699,679,661,657,635,619,596,574,553
Nigeria,1360,1380,1390,1380,1370,1350,1320,1300,1280,1270,1250,1250,1240,1220,1200,1170,1140,1090,1040,986,946,890,884,829,883,867,824,819,821,820,814
Pakistan,527,506,486,469,449,431,418,403,388,375,363,353,342,330,318,306,294,282,271,259,249,239,230,223,217,211,204,197,190,184,178
Papua New Guinea,537,531,522,507,488,470,447,427,405,388,377,371,365,360,353,342,330,318,305,290,277,264,259,258,249,238,231,227,224,220,215
Peru,327,311,291,273,261,251,243,234,223,215,206,199,181,168,157,140,126,124,120,121,114,99,95,99,94,92,85,75,72,70,68
Philippines,200,190,188,166,155,152,134,139,135,121,122,122,119,122,117,124,128,127,125,126,127,127,128,129,131,129,127,126,121,117,114
Rwanda,1400,1390,1380,1360,1340,1300,1290,1300,1290,1270,1260,1260,1230,1130,1070,1020,946,870,770,662,567,534,495,452,411,381,361,336,318,304,290
Sao Tome and Principe,368,359,351,348,340,330,317,303,291,271,263,254,244,237,231,222,215,207,199,191,181,176,173,167,166,162,161,162,161,159,156
Senegal,711,667,623,588,559,540,527,519,513,511,509,508,506,501,496,488,481,474,462,445,427,426,414,398,387,375,365,351,335,323,315
Sierra Leone,2350,2420,2470,2520,2560,2630,2700,2780,2850,2900,2900,2890,2870,2820,2750,2650,2530,2390,2270,2110,1990,1880,1800,1730,1680,1630,1580,1510,1460,1410,1360
Solomon Islands,364,377,385,385,377,364,345,325,304,288,273,259,247,237,226,214,203,192,182,172,164,158,152,147,142,136,131,126,122,118,114
Somalia,1280,1260,1260,1240,1220,1210,1210,1210,1210,1200,1190,1190,1160,1130,1110,1080,1050,1020,999,971,939,911,885,865,846,820,808,791,775,753,732
South Africa,159,148,137,126,117,108,98,88,77,69,62,60,61,66,76,85,89,95,102,107,112,119,126,138,148,154,154,152,145,140,138
South Sudan,1920,1890,1850,1820,1770,1730,1700,1670,1630,1580,1530,1470,1410,1370,1340,1310,1270,1230,1190,1150,1090,1030,971,928,886,876,869,857,841,823,789
Sudan,804,796,782,766,756,744,726,711,690,667,648,627,605,582,562,544,524,504,486,463,440,418,396,376,361,349,339,330,325,318,311
Swaziland,810,792,768,728,684,635,602,570,549,538,537,545,553,567,579,586,597,601,601,601,595,561,517,476,451,436,418,400,413,400,389
Tajikistan,134,125,125,118,113,107,108,113,151,140,129,116,103,89,74,68,69,58,48,46,46,39,38,37,37,35,35,34,34,33,32
Tanzania,1060,1050,1030,1010,1010,997,996,998,995,979,961,944,924,900,870,842,813,777,747,717,687,652,608,566,542,514,483,464,438,418,398
Togo,620,600,592,584,578,568,573,571,566,566,563,556,541,521,505,491,474,459,446,434,427,427,416,402,395,393,396,391,386,378,368
Turkmenistan,102,108,95,94,91,82,90,89,90,88,74,75,66,61,61,59,57,56,56,55,53,52,51,49,47,46,46,45,44,43,42
Uganda,702,696,695,688,687,687,688,692,693,692,684,678,668,658,639,620,601,576,558,536,504,481,469,451,432,420,408,395,372,356,343
Uzbekistan,92,86,78,71,63,54,51,45,42,37,32,31,29,30,30,34,39,42,42,40,42,41,41,40,40,39,38,38,37,37,36
Viet Nam,179,170,162,154,146,139,132,126,119,113,107,101,95,90,85,81,76,72,68,64,61,59,58,58,57,58,56,56,55,54,54
Yemen,650,621,597,575,559,547,535,523,517,507,498,488,476,462,451,440,435,431,429,429,428,428,424,417,417,416,413,410,406,398,385
Zambia,552,556,561,566,570,577,584,589,592,597,596,598,598,596,569,541,518,493,472,414,372,338,311,289,274,262,251,243,237,231,224
Zimbabwe,554,534,514,495,465,440,428,414,405,427,449,479,505,530,563,590,621,642,657,648,629,600,564,533,485,446,409,379,369,401,443
