CountryName,U5MR.1990,U5MR.1991,U5MR.1992,U5MR.1993,U5MR.1994,U5MR.1995,U5MR.1996,U5MR.1997,U5MR.1998,U5MR.1999,U5MR.2000,U5MR.2001,U5MR.2002,U5MR.2003,U5MR.2004,U5MR.2005,U5MR.2006,U5MR.2007,U5MR.2008,U5MR.2009,U5MR.2010,U5MR.2011,U5MR.2012,U5MR.2013,U5MR.2014,U5MR.2015
Afghanistan,181,174.2,167.8,162,156.8,152.3,148.6,145.5,142.6,139.9,137,133.8,130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1
Angola,226,225.9,226,225.8,225.5,224.8,224,222.6,220.8,218.9,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Azerbaijan,94.7,95,95.4,95.7,95.5,94.3,92.1,88.6,84.2,79.3,74,68.8,63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7
Bangladesh,143.7,137.7,131.7,125.8,119.9,114.2,108.6,103.2,97.9,92.8,88,83.5,79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6
Benin,179.5,175,170.4,166.2,162.4,159.1,156.2,153.6,150.9,147.9,144.7,141.1,137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5
Bolivia,124.4,119.7,115.2,110.7,106.2,101.8,97.5,93.1,88.7,84.4,80.2,76.2,72.2,68.5,64.8,61.4,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4
Botswana,54.2,56.4,59.1,62.4,66.1,69.9,73.5,76.5,79,82,82.9,81.6,79.8,78.1,75.8,69,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6
Brazil,60.8,58.2,55.4,52.5,49.4,46.3,43.2,40.2,37.2,34.5,32,29.6,27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4
Burkina Faso,202.2,201.8,202.1,202,201.1,199.4,197,194,191.3,188.5,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
Burundi,171.8,172.9,173.5,173.5,172.5,170.5,167.7,164.4,160.5,156.4,152.2,147.8,143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
Cambodia,117.3,117.4,117.8,118.6,120,121.5,122.6,122.5,120.4,115.7,108.3,98.7,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
Cameroon,138,140,142.8,146,149,151.8,154,155.3,155.3,153.8,150.4,145.7,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
Central African Republic,176.5,176.2,176,176.1,176.4,176.7,177,176.9,176.5,175.7,174.8,173.5,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1
Chad,214.6,212,209.4,207,204.8,202.7,200.6,198.3,195.8,193,190.2,187.3,184.6,181.9,179.4,177,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7
China,53.8,53.3,52.4,51,49.3,47.5,45.6,43.6,41.5,39.3,36.9,34.3,31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
Comoros,125.1,121.2,117.2,113.6,110.5,107.8,105.6,104,102.7,101.8,101.1,100.8,100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5
Congo,93.6,95.2,97.4,100.2,103.8,107.7,111.9,116,119.3,121.4,121.6,119.7,115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45
Congo DR,186.5,184.3,182.3,180.3,178.3,176.4,174.1,171.5,168.4,164.9,161,156.8,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
Cote d Ivoire,152.6,152.7,152.7,152.8,152.9,152.7,152.2,151.3,149.8,147.9,145.6,142.8,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6
Djibouti,119.4,117,115,113.2,111.5,110.2,108.5,106.8,104.9,102.9,100.8,98.4,96,93.5,91,88.5,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3
Egypt,85.9,81.7,77.5,73.3,68.9,64.6,60.4,56.5,52.8,49.5,46.5,43.8,41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24
Equatorial Guinea,189.5,185.8,182,178.3,174.6,171.2,167.6,163.9,160.1,156.1,152.1,147.9,143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1
Eritrea,151.4,145,138.2,131.2,124.1,117.3,110.8,104.8,99.2,94,89.1,84.6,80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5
Ethiopia,204.6,200.2,195,188.9,182,175,168.3,162,156.2,150.8,145.1,139,132.2,124.8,117,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2
Gabon,92.9,92,91.3,90.6,89.8,89.1,88.5,87.9,87.2,86.3,85.3,84,82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8
